CALDAY;/BIC/TBWCKPIID;/BIC/TBWCKPIS;/BIC/TBWCLPLAN;/BIC/TBWCTEC;/BIC/TBWCMARKE;/BIC/TBWKKPIWD;/BIC/TBWKKPIWT;/BIC/TBWKKPIVW;/BIC/TBWKDATLA;/BIC/TBWKAMPEL;/BIC/TBWKZWT;/BIC/TBWKSW1WT;/BIC/TBWKSW2WT;/BIC/TBWKNULL
01.01.2018;K0031;PTMS;2911;MO;BI;10,491;111;1.265,10;05.01.2018;0;0;0;0;0
02.01.2018;K0031;PTMS;2911;MO;BI;11,471;119;1.365,10;05.01.2018;0;0;0;0;0
03.01.2018;K0031;PTMS;2911;MO;BI;15,113;114;1.722,83;05.01.2018;0;0;0;0;0
04.01.2018;K0031;PTMS;2911;MO;BI;16,375;116;1.899,53;05.01.2018;0;0;0;0;0
05.01.2018;K0031;PTMS;2911;MO;BI;11,471;117;1.810,10;05.01.2018;0;0;0;0;0
06.01.2018;K0031;PTMS;2911;MO;BI;15,113;120;1.822,83;05.01.2018;0;0;0;0;0
07.01.2018;K0031;PTMS;2911;MO;BI;16,375;121;1.840,53;05.01.2018;0;0;0;0;0
