CALDAY;/BIC/TBWCKPIID;/BIC/TBWCKPIS;/BIC/TBWCLPLAN;/BIC/TBWCTEC;/BIC/TBWCMARKE;/BIC/TBWKKPIWD;/BIC/TBWKKPIWT;/BIC/TBWKKPIVW;/BIC/TBWKDATLA;/BIC/TBWKAMPEL;/BIC/TBWKZWT;/BIC/TBWKSW1WT;/BIC/TBWKSW2WT;/BIC/TBWKNULL
01.01.2018;K0031;PTMS;2911;MO;BI;10,491;111,000;1.265,100;05.01.2018;0;0,000;0,000;0,000;0
02.01.2018;K0031;PTMS;2911;MO;BI;11,471;119,000;1.365,100;05.01.2018;0;0,000;0,000;0,000;0
03.01.2018;K0031;PTMS;2911;MO;BI;15,113;114,000;1.722,830;05.01.2018;0;0,000;0,000;0,000;0
04.01.2018;K0031;PTMS;2911;MO;BI;16,375;116,000;1.899,530;05.01.2018;0;0,000;0,000;0,000;0
05.01.2018;K0031;PTMS;2911;MO;BI;11,471;117,000;1.810,100;05.01.2018;0;0,000;0,000;0,000;0
06.01.2018;K0031;PTMS;2911;MO;BI;15,113;120,000;1.822,830;05.01.2018;0;0,000;0,000;0,000;0
07.01.2018;K0031;PTMS;2911;MO;BI;16,375;121,000;1.840,530;05.01.2018;0;0,000;0,000;0,000;0
